id_upload,path,nama_modul,file_type,nama_file_asli,id_profile,id,str_key,str_subkey
fa2ea3f11f5742e2bd62a28e20c7d71d,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/asset_statuses.md,perizinan,.md,asset_statuses.md,551421064,1,1,1
0e9ad7edea978585e565712fa17f669c,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/audit_logs.md,perizinan,.md,audit_logs.md,2066589427,1,1,1
63c4fc085c8894e38ba3d56e1e754cf4,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/enterprises.md,perizinan,.md,enterprises.md,3674137826,1,1,1
5013a55ae1b6017e326cac97e7838249,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/financal_accees_types.md,perizinan,.md,financal_accees_types.md,4325945740,1,1,1
7f0ffc4ae9a6fc2db6db39751046fbc6,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/market_access_types.md,perizinan,.md,market_access_types.md,8948378498,1,1,1
9dd55ad51d8fb46fd194402c5eca4fae,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/media.md,perizinan,.md,media.md,7976628263,1,1,1
def80fcc7b99c26b3f35b3a6408863ba,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/migrations.md,perizinan,.md,migrations.md,5439119061,1,1,1
cf9c4b4ffb0dead1312a271eb5783e3b,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/password_resets.md,perizinan,.md,password_resets.md,2319274820,1,1,1
a6f8a2f0075589d2bc23066757ebd443,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/permissions.md,perizinan,.md,permissions.md,5871217497,1,1,1
1da833bccb58fa0fdc590048c77c9d91,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/permission_role.md,perizinan,.md,permission_role.md,1768126890,1,1,1
0793bb34ac8c1a22271e4e5075a61c07,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/personal_access_tokens.md,perizinan,.md,personal_access_tokens.md,1603777087,1,1,1
cf090d0f6d58ec94960ada80576d99a7,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/projects.md,perizinan,.md,projects.md,5027162297,1,1,1
40ec0b3bca588572523aab0a0f95dfc7,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/project_statuses.md,perizinan,.md,project_statuses.md,871080829,1,1,1
869f639643ffae8e00708160a27ee68d,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/project_user.md,perizinan,.md,project_user.md,5817315572,1,1,1
134c6b1ee3eab7112734904c839c7bf0,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/roles.md,perizinan,.md,roles.md,3201290554,1,1,1
4c997fc33d72af2c141dfffd01c06120,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/role_user.md,perizinan,.md,role_user.md,9424160295,1,1,1
0f006b395ffd1f3322daba6181c97f22,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/Tables.md,perizinan,.md,Tables.md,3220139384,1,1,1
59c2f7cd0be2040b5b845bf0fc289094,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/tasks.md,perizinan,.md,tasks.md,6848085843,1,1,1
a028fe04f57d46a3955d9bbbce5b51f0,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/task_statuses.md,perizinan,.md,task_statuses.md,9333226758,1,1,1
382d8297bf54338ceccfb4c0c506b7d5,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/task_tags.md,perizinan,.md,task_tags.md,9560237605,1,1,1
e2380f16f6afd6f1828d15882f6df785,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/task_task_tag.md,perizinan,.md,task_task_tag.md,7092527353,1,1,1
f49bd842fe68b3a1ae463cc945a2b3d5,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/type_of_businesses.md,perizinan,.md,type_of_businesses.md,6539923042,1,1,1
c3bc3dd19451c1acca98fbfffc6849ab,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/users.md,perizinan,.md,users.md,6125027788,1,1,1
946c8fe15edac26f14558fc536f300f8,bo.bo.eci2.msvc.app_2023-12-05_04-11-49/Servers/bo.bo.eci2.msvc.app/Databases/bo/Tables/work_types.md,perizinan,.md,work_types.md,1543246143,1,1,1
e57dc6674c85b67acdcf01e772f88d0d,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/fonts/dbforge.eot,perizinan,.eot,dbforge.eot,7785301821,1,1,1
2b063341da21a47c77cd1e79f37df172,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/fonts/dbforge.svg,perizinan,.svg,dbforge.svg,9308681841,1,1,1
7bc5556b967eb27b68ac75b1930d1fc5,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/fonts/dbforge.ttf,perizinan,.ttf,dbforge.ttf,9247655950,1,1,1
c51b63b0b586fe7b6bb6705d72ffe78e,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/fonts/dbforge.woff,perizinan,.woff,dbforge.woff,9094912356,1,1,1
1b1a46fdf25ae72aeacec5c3574e0ff5,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/images/Trial.png,perizinan,.png,Trial.png,3966097323,1,1,1
76976762da3bfc5358959ccd1fb2dcd4,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/bootstrap-treeview.js,perizinan,.js,bootstrap-treeview.js,1841423302,1,1,1
54e42ca4934e5ab93f108af42af9bbcc,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/bootstrap.min.js,perizinan,.js,bootstrap.min.js,4838367517,1,1,1
985645d46d6f64a2517c6243eb762bd1,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/clipboard.min.js,perizinan,.js,clipboard.min.js,5565051522,1,1,1
c669d5f2b9be71defeb3ea38fea6bd29,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/jquery-1.12.0.min.js,perizinan,.js,jquery-1.12.0.min.js,4715873224,1,1,1
de7bbffddef6e355aa1b8dadfded4eab,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/main.js,perizinan,.js,main.js,6031248075,1,1,1
1abec96fbf004f98dc56074a3fb7dfe9,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/scripts/treeview-data.js,perizinan,.js,treeview-data.js,2183255769,1,1,1
fd809b01147bbf4815f59efd7cf594eb,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/Servers.html,perizinan,.html,Servers.html,9351804230,1,1,1
b88333c03c2d7916cc085092e6e482f0,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/styles/bootstrap-treeview.css,perizinan,.css,bootstrap-treeview.css,5473521639,1,1,1
6e6ff840b37ed03a0d00b0bce24502c6,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/styles/main.css,perizinan,.css,main.css,308200897,1,1,1
966adb1fcf7199365606b206f9d622f2,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/styles/svg.css,perizinan,.css,svg.css,9376540107,1,1,1
7459940fced7b29ca55dd801f0cd309e,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/bo.bo.eci2.msvc.app.html,perizinan,.html,bo.bo.eci2.msvc.app.html,1965487735,1,1,1
fec8804baf77a5d324a3c95b6324fd35,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/Databases.html,perizinan,.html,Databases.html,7139959381,1,1,1
46773f1456832c886c421a540c498eb0,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/bo.html,perizinan,.html,bo.html,1769949884,1,1,1
d0d0f57ffae682ea8fab636a525a6dc2,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/tables/assets.html,perizinan,.html,assets.html,613482900,1,1,1
469113e81d6de489b1b625839e93623b,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/tables/assets_sensor_datas.html,perizinan,.html,assets_sensor_datas.html,988887903,1,1,1
ed56401a60dd5b94906f583ee73708f1,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/tables/asset_categories.html,perizinan,.html,asset_categories.html,7676617945,1,1,1
d59a3192a6dfe4088e3d70004a4ce233,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/tables/asset_locations.html,perizinan,.html,asset_locations.html,2796551979,1,1,1
20f269ec1c7932c5c884253b22ad6eb8,bo.bo.eci2.msvc.app_2023-12-05_04-12-16/servers/bo.bo.eci2.msvc.app/databases/bo/tables/asset_statuses.html,perizinan,.html,asset_statuses.html,4719896557,1,1,1
